"Online.boarding","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Inflight.entertainment","Leg.room.service","Checkin.service","On.board.service","Ease.of.Online.booking","satisfaction"
5,359,3,3,5,5,4,5,3,"satisfied"
5,2079,5,3,4,2,4,1,5,"satisfied"
3,236,3,3,2,1,3,1,3,"neutral or dissatisfied"
1,257,1,3,2,5,2,1,1,"neutral or dissatisfied"
5,2523,1,1,5,1,5,4,1,"satisfied"
1,475,1,0,2,5,3,5,1,"neutral or dissatisfied"
5,1450,4,4,5,5,4,4,4,"satisfied"
5,359,4,2,4,4,2,5,5,"satisfied"
4,486,4,4,2,2,3,2,3,"satisfied"
5,522,5,5,5,2,5,2,5,"satisfied"
1,363,1,1,1,2,1,2,1,"neutral or dissatisfied"
4,1440,1,4,5,1,5,5,1,"neutral or dissatisfied"
0,399,0,5,2,2,2,5,0,"satisfied"
4,1211,5,5,5,4,4,3,5,"satisfied"
4,2342,3,3,5,5,3,5,3,"satisfied"
1,67,1,2,4,2,1,1,1,"neutral or dissatisfied"
3,102,3,2,1,3,3,4,3,"neutral or dissatisfied"
2,1774,3,3,4,4,3,4,3,"satisfied"
3,948,3,3,2,3,2,2,3,"neutral or dissatisfied"
1,1105,1,1,3,1,1,1,1,"neutral or dissatisfied"
3,1069,3,5,3,3,3,3,5,"neutral or dissatisfied"
3,888,1,2,1,1,4,1,5,"neutral or dissatisfied"
3,1235,3,3,2,2,5,4,3,"neutral or dissatisfied"
3,190,3,2,2,4,1,1,3,"neutral or dissatisfied"
4,2812,2,2,2,2,2,2,2,"neutral or dissatisfied"
2,1533,2,4,1,5,3,5,2,"neutral or dissatisfied"
4,1299,4,5,5,4,4,5,4,"neutral or dissatisfied"
2,1535,3,1,2,3,1,2,3,"neutral or dissatisfied"
4,409,4,4,4,2,5,3,4,"satisfied"
5,119,5,3,5,4,4,1,4,"satisfied"
4,1945,1,1,4,4,3,4,1,"satisfied"
1,602,2,1,3,5,2,1,1,"neutral or dissatisfied"
4,328,2,2,4,4,3,4,2,"satisfied"
2,332,2,4,4,3,3,3,2,"neutral or dissatisfied"
3,896,4,4,4,3,4,1,4,"neutral or dissatisfied"
2,432,2,1,5,2,3,3,2,"neutral or dissatisfied"
2,912,2,4,2,2,3,2,4,"neutral or dissatisfied"
4,321,4,1,4,5,3,2,1,"neutral or dissatisfied"
3,2365,4,1,4,4,2,4,1,"neutral or dissatisfied"
1,2777,1,1,4,5,5,3,1,"neutral or dissatisfied"
2,872,2,2,1,1,5,4,2,"neutral or dissatisfied"
4,302,2,1,2,2,4,2,1,"neutral or dissatisfied"
3,1250,3,3,3,3,2,4,3,"satisfied"
4,738,2,2,2,2,3,2,2,"neutral or dissatisfied"
4,2624,5,5,3,4,5,3,5,"satisfied"
4,896,4,4,4,3,3,4,4,"neutral or dissatisfied"
5,190,5,4,5,4,2,4,4,"satisfied"
3,370,3,5,3,2,2,3,3,"neutral or dissatisfied"
1,562,1,1,2,5,2,3,1,"neutral or dissatisfied"
1,1310,1,4,2,2,4,2,1,"neutral or dissatisfied"
4,2174,4,5,2,4,5,4,4,"neutral or dissatisfied"
4,574,2,4,4,2,3,4,2,"neutral or dissatisfied"
4,3004,1,5,3,3,4,3,5,"neutral or dissatisfied"
3,1444,3,5,3,2,3,3,5,"satisfied"
4,1680,4,1,4,4,3,4,4,"satisfied"
1,920,1,1,2,4,5,4,1,"neutral or dissatisfied"
4,2586,4,4,3,4,4,5,4,"satisfied"
1,369,1,5,1,5,2,4,5,"neutral or dissatisfied"
4,571,2,5,4,2,3,4,2,"neutral or dissatisfied"
4,250,4,4,2,2,4,4,4,"neutral or dissatisfied"
5,3850,5,5,4,4,5,4,5,"satisfied"
4,1363,2,2,2,3,5,2,2,"satisfied"
1,2556,1,4,3,2,1,3,1,"neutral or dissatisfied"
4,896,4,4,5,5,3,5,4,"satisfied"
4,3837,5,5,3,3,3,3,5,"satisfied"
5,594,5,5,4,5,5,4,5,"satisfied"
3,1747,2,2,5,5,3,5,2,"satisfied"
4,861,5,5,4,4,3,4,5,"satisfied"
3,528,2,5,2,2,2,2,5,"neutral or dissatisfied"
4,1700,1,1,5,5,3,5,1,"satisfied"
2,507,1,1,3,1,4,2,2,"neutral or dissatisfied"
3,985,3,5,2,3,1,2,5,"neutral or dissatisfied"
5,802,2,4,3,3,5,3,3,"neutral or dissatisfied"
3,493,3,2,3,3,3,3,2,"neutral or dissatisfied"
5,1618,1,4,4,4,4,4,1,"satisfied"
3,1171,2,5,4,2,4,4,2,"neutral or dissatisfied"
3,692,3,5,1,4,4,4,3,"neutral or dissatisfied"
1,3242,5,5,3,5,5,3,4,"satisfied"
4,590,4,4,5,2,1,2,4,"neutral or dissatisfied"
4,311,3,4,1,2,5,4,4,"neutral or dissatisfied"
1,762,1,1,3,5,3,2,1,"neutral or dissatisfied"
4,429,1,4,5,1,1,5,1,"neutral or dissatisfied"
1,679,1,3,1,5,5,5,1,"neutral or dissatisfied"
4,304,2,2,5,4,4,5,2,"satisfied"
3,589,3,1,4,5,1,1,3,"neutral or dissatisfied"
0,214,1,0,1,4,3,4,0,"neutral or dissatisfied"
1,397,1,4,4,3,4,2,1,"neutral or dissatisfied"
0,843,0,0,3,5,3,4,0,"satisfied"
4,3560,1,1,4,4,5,4,1,"satisfied"
3,390,3,2,1,1,1,3,3,"neutral or dissatisfied"
2,1319,2,2,5,2,4,1,2,"neutral or dissatisfied"
5,3071,4,4,4,4,3,4,2,"satisfied"
3,977,2,4,2,4,3,3,3,"neutral or dissatisfied"
4,214,1,1,4,4,5,3,1,"satisfied"
2,3255,2,2,3,2,4,5,2,"satisfied"
3,946,3,2,5,2,2,3,3,"neutral or dissatisfied"
